Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Gore Coat : Gore Magala Horn x1, Gore Magala Wing x2, Gore Magala Shell x4, Killer Beetle x3 : 1 黒蝕竜の触角, 2 黒蝕竜の暗翼, 4 黒蝕竜の甲殻, 3 キラビートル
Gore Leggings : Gore Magala Shell x3, Gore Magala Scale x1, Gore Magala Plate x1, Remobra Skin x5 : 3 黒蝕竜の甲殻, 1 黒蝕竜の鱗, 1 黒蝕竜の逆鱗, 5 翼蛇竜の皮
Gobul Helm : Gobul Spike+ x2, Gobul Hide+ x4, Zaboazagiru Tooth x2, Monster Bone+ x3 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 化け鮫の鋸歯, 3 上竜骨
Gobul Mail : Gobul Hide+ x3, Gobul Spike+ x1, Slimy Oil+ x3, Bird Wyvern Stone x3 : 3 灯魚竜の上皮, 1 灯魚竜の上棘, 3 カワズの殿油, 3 鳥竜玉
Gobul Vambraces : Gobul Hide+ x4, Gobul Spike+ x1, Zaboazagiru Scale x3, Monster Bone M x5 : 4 灯魚竜の上皮, 1 灯魚竜の上棘, 3 化け鮫の鱗, 5 竜骨【中】
Gobul Faulds : Gobul Hide+ x4, Gobul Spike+ x1, Zaboazagiru Fin x2, Paralysis Sac x5 : 4 灯魚竜の上皮, 1 灯魚竜の上棘, 2 化け鮫のヒレ, 5 麻痺袋
Gobul Greaves : Gobul Spike+ x2, Gobul Hide+ x4, Zaboazagiru Fin+ x2, Zaboazagiru Tail x1 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 化け鮫の上ヒレ, 1 化け鮫の刃尾
Gobul Cap : Gobul Spike+ x2, Gobul Hide+ x4, Zaboazagiru Tooth x2, Monster Bone+ x3 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 化け鮫の鋸歯, 3 上竜骨
Gobul Vest : Gobul Hide+ x3, Gobul Spike+ x1, Slimy Oil+ x3, Bird Wyvern Stone x3 : 3 灯魚竜の上皮, 1 灯魚竜の上棘, 3 カワズの殿油, 3 鳥竜玉
Gobul Guards : Gobul Hide+ x4, Gobul Spike+ x1, Zaboazagiru Scale x3, Monster Bone M x5 : 4 灯魚竜の上皮, 1 灯魚竜の上棘, 3 化け鮫の鱗, 5 竜骨【中】
Gobul Coat : Gobul Hide+ x4, Gobul Spike+ x1, Zaboazagiru Fin x2, Paralysis Sac x5 : 4 灯魚竜の上皮, 1 灯魚竜の上棘, 2 化け鮫のヒレ, 5 麻痺袋
Gobul Leggings : Gobul Spike+ x2, Gobul Hide+ x4, Zaboazagiru Fin+ x2, Zaboazagiru Tail x1 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 化け鮫の上ヒレ, 1 化け鮫の刃尾
Golden Luna Helm : G.Rathian Spike+ x3, G.Rathian Carapace x5, Rath Gleem x3, Inferno Sac x3 : 3 金火竜の上棘, 5 金火竜の堅殻, 3 火竜の煌液, 3 爆炎袋
Golden Luna Mail : G.Rathian Scale+ x5, Rath Medulla x5, Rathian Plate x2, Fulcralite Ore x4 : 5 金火竜の上鱗, 5 火竜の延髄, 2 雌火竜の逆鱗, 4 フルクライト鉱石
Golden Luna Vambraces : G.Rathian Carapace x5, Fire Wyvern Claw x4, Rathian Ruby x1, Firecell Stone x4 : 5 金火竜の堅殻, 4 火竜の翼爪, 1 雌火竜の紅玉, 4 獄炎石
Golden Luna Coil : G.Rathian Scale+ x5, Rathian Ruby x1, Rath Gleem x3, Firecell Stone x3 : 5 金火竜の上鱗, 1 雌火竜の紅玉, 3 火竜の煌液, 3 獄炎石
Golden Luna Greaves : G.Rathian Carapace x5, G.Rathian Scale+ x4, Monster Hardbone x5, Elder Dragon Blood x2 : 5 金火竜の堅殻, 4 金火竜の上鱗, 5 堅竜骨, 2 古龍の血
Golden Hair Tie : Rajang Horn+ x2, Golden Pelt x1, Rajang Pelt x3, Rathalos Plate x1 : 2 金獅子の尖角, 1 黄金の毛, 3 金獅子の黒毛, 1 火竜の逆鱗
Golden Haori : Rajang Horn+ x1, Golden Pelt x1, Rajang Pelt x4, Daora Dragonscale x2 : 1 金獅子の尖角, 1 黄金の毛, 4 金獅子の黒毛, 2 鋼の龍鱗
Golden Kote : Rajang Horn+ x1, Rajang Tail x2, Remobra Skin+ x2, Fire Dragon Scale x2 : 1 金獅子の尖角, 2 金獅子の尻尾, 2 翼蛇竜の上皮, 2 獄炎の龍鱗
Golden Obi : Rajang Horn+ x1, Rajang Pelt x4, Remobra Skin+ x2, Fire Dragon Scale x2 : 1 金獅子の尖角, 4 金獅子の黒毛, 2 翼蛇竜の上皮, 2 獄炎の龍鱗
Golden Hakama : Rajang Horn+ x2, Rajang Pelt x2, Remobra Skin+ x2, Daora Dragonscale x2 : 2 金獅子の尖角, 2 金獅子の黒毛, 2 翼蛇竜の上皮, 2 鋼の龍鱗
Golden Luna Cap : G.Rathian Spike+ x3, G.Rathian Carapace x5, Rath Gleem x3, Inferno Sac x3 : 3 金火竜の上棘, 5 金火竜の堅殻, 3 火竜の煌液, 3 爆炎袋
Golden Luna Vest : G.Rathian Scale+ x5, Rath Medulla x5, Rathian Plate x2, Fulcralite Ore x4 : 5 金火竜の上鱗, 5 火竜の延髄, 2 雌火竜の逆鱗, 4 フルクライト鉱石
Golden Luna Guards : G.Rathian Carapace x5, Fire Wyvern Claw x4, Rathian Ruby x1, Firecell Stone x4 : 5 金火竜の堅殻, 4 火竜の翼爪, 1 雌火竜の紅玉, 4 獄炎石
Golden Luna Coat : G.Rathian Scale+ x5, Rathian Ruby x1, Rath Gleem x3, Firecell Stone x3 : 5 金火竜の上鱗, 1 雌火竜の紅玉, 3 火竜の煌液, 3 獄炎石
Golden Luna Leggings : G.Rathian Carapace x5, G.Rathian Scale+ x4, Monster Hardbone x5, Elder Dragon Blood x2 : 5 金火竜の堅殻, 4 金火竜の上鱗, 5 堅竜骨, 2 古龍の血
Grandmaster's Bracelet : ????? x1 : 1 ※村クエ制覇
Gravios Helm U : B.Gravios Carapace x5, B.Gravios Scalp x1, Wyvern Stone x1, Rare Scarab x3 : 5 黒鎧竜の堅殻, 1 黒鎧竜の頭殻, 1 竜玉, 3 マレコガネ
Gravios Mail U : B.Gravios Carapace x5, Gravios Carapace x2, Monster Hardbone x2, Gravios Medulla x1 : 5 黒鎧竜の堅殻, 2 鎧竜の堅殻, 2 堅竜骨, 1 鎧竜の延髄
Gravios Vambraces U : B.Gravios Carapace x2, Gravios Carapace x1, Monster Hardbone x3, Inferno Sac x3 : 2 黒鎧竜の堅殻, 1 鎧竜の堅殻, 3 堅竜骨, 3 爆炎袋
Gravios Faulds U : B.Gravios Carapace x1, Gravios Carapace x3, Monster Hardbone x1, Novacrystal x1 : 1 黒鎧竜の堅殻, 3 鎧竜の堅殻, 1 堅竜骨, 1 ノヴァクリスタル
Gravios Greaves U : B.Gravios Carapace x2, Gravios Carapace x1, Monster Hardbone x3, Gypceros Hide+ x3 : 2 黒鎧竜の堅殻, 1 鎧竜の堅殻, 3 堅竜骨, 3 ゴム質の上皮
Gravios Helm S : Gravios Carapace x5, Gravios Scalp x2, Wyvern Stone x1, Monster Hardbone x3 : 5 鎧竜の堅殻, 2 鎧竜の頭殻, 1 竜玉, 3 堅竜骨
Gravios Mail S : Gravios Carapace x5, Gravios Wing x2, Monster Bone+ x2, Inferno Sac x2 : 5 鎧竜の堅殻, 2 鎧竜の翼, 2 上竜骨, 2 爆炎袋
Gravios Vambraces S : Gravios Carapace x2, Gravios Scalp x1, Monster Hardbone x1, Firecell Stone x1 : 2 鎧竜の堅殻, 1 鎧竜の頭殻, 1 堅竜骨, 1 獄炎石
Gravios Faulds S : Gravios Carapace x1, Gravios Wing x2, Monster Bone+ x3, Gravios Medulla x1 : 1 鎧竜の堅殻, 2 鎧竜の翼, 3 上竜骨, 1 鎧竜の延髄
Gravios Greaves S : Gravios Carapace x2, Gravios Shell x4, Monster Hardbone x2, Rare Scarab x2 : 2 鎧竜の堅殻, 4 鎧竜の甲殻, 2 堅竜骨, 2 マレコガネ
Gravios Cap S : Gravios Carapace x5, Gravios Scalp x2, Wyvern Stone x1, Monster Hardbone x3 : 5 鎧竜の堅殻, 2 鎧竜の頭殻, 1 竜玉, 3 堅竜骨
Gravios Cap U : B.Gravios Carapace x5, B.Gravios Scalp x1, Wyvern Stone x1, Rare Scarab x3 : 5 黒鎧竜の堅殻, 1 黒鎧竜の頭殻, 1 竜玉, 3 マレコガネ
Gravios Vest S : Gravios Carapace x5, Gravios Wing x2, Monster Bone+ x2, Inferno Sac x2 : 5 鎧竜の堅殻, 2 鎧竜の翼, 2 上竜骨, 2 爆炎袋
Gravios Vest U : B.Gravios Carapace x5, Gravios Carapace x2, Monster Hardbone x2, Gravios Medulla x1 : 5 黒鎧竜の堅殻, 2 鎧竜の堅殻, 2 堅竜骨, 1 鎧竜の延髄
Gravios Guards S : Gravios Carapace x2, Gravios Scalp x1, Monster Hardbone x1, Firecell Stone x1 : 2 鎧竜の堅殻, 1 鎧竜の頭殻, 1 堅竜骨, 1 獄炎石
Gravios Guards U : B.Gravios Carapace x2, Gravios Carapace x1, Monster Hardbone x3, Inferno Sac x3 : 2 黒鎧竜の堅殻, 1 鎧竜の堅殻, 3 堅竜骨, 3 爆炎袋
Gravios Coat S : Gravios Carapace x1, Gravios Wing x2, Monster Bone+ x3, Gravios Medulla x1 : 1 鎧竜の堅殻, 2 鎧竜の翼, 3 上竜骨, 1 鎧竜の延髄
Gravios Coat U : B.Gravios Carapace x1, Gravios Carapace x3, Monster Hardbone x1, Novacrystal x1 : 1 黒鎧竜の堅殻, 3 鎧竜の堅殻, 1 堅竜骨, 1 ノヴァクリスタル
Gravios Leggings S : Gravios Carapace x2, Gravios Shell x4, Monster Hardbone x2, Rare Scarab x2 : 2 鎧竜の堅殻, 4 鎧竜の甲殻, 2 堅竜骨, 2 マレコガネ
Gravios Leggings U : B.Gravios Carapace x2, Gravios Carapace x1, Monster Hardbone x3, Gypceros Hide+ x3 : 2 黒鎧竜の堅殻, 1 鎧竜の堅殻, 3 堅竜骨, 3 ゴム質の上皮
Gravios Helm : Gravios Shell x4, Gravios Scalp x2, Monster Bone L x3, Ioprey Hide x4 : 4 鎧竜の甲殻, 2 鎧竜の頭殻, 3 竜骨【大】, 4 イーオスの皮
Gravios Mail : Gravios Shell x5, Gravios Wing x3, Monster Bone+ x3, Iodrome Hide x2 : 5 鎧竜の甲殻, 3 鎧竜の翼, 3 上竜骨, 2 ドスイーオスの皮
Gravios Vambraces : Gravios Shell x6, Sleep Sac x4, Monster Bone L x5, Dragonite Ore x3 : 6 鎧竜の甲殻, 4 睡眠袋, 5 竜骨【大】, 3 ドラグライト鉱石
Gravios Faulds : Gravios Shell x4, Gravios Wing x2, Monster Bone+ x2, Ioprey Hide x3 : 4 鎧竜の甲殻, 2 鎧竜の翼, 2 上竜骨, 3 イーオスの皮
Gravios Greaves : Gravios Shell x5, Flame Sac x3, Monster Bone+ x2, Iodrome Hide x2 : 5 鎧竜の甲殻, 3 火炎袋, 2 上竜骨, 2 ドスイーオスの皮
Gravios Cap : Gravios Shell x4, Gravios Scalp x2, Monster Bone L x3, Ioprey Hide x4 : 4 鎧竜の甲殻, 2 鎧竜の頭殻, 3 竜骨【大】, 4 イーオスの皮
Gravios Vest : Gravios Shell x5, Gravios Wing x3, Monster Bone+ x3, Iodrome Hide x2 : 5 鎧竜の甲殻, 3 鎧竜の翼, 3 上竜骨, 2 ドスイーオスの皮
Gravios Guards : Gravios Shell x6, Sleep Sac x4, Monster Bone L x5, Dragonite Ore x3 : 6 鎧竜の甲殻, 4 睡眠袋, 5 竜骨【大】, 3 ドラグライト鉱石
Gravios Coat : Gravios Shell x4, Gravios Wing x2, Monster Bone+ x2, Ioprey Hide x3 : 4 鎧竜の甲殻, 2 鎧竜の翼, 2 上竜骨, 3 イーオスの皮
Gravios Leggings : Gravios Shell x5, Flame Sac x3, Monster Bone+ x2, Iodrome Hide x2 : 5 鎧竜の甲殻, 3 火炎袋, 2 上竜骨, 2 ドスイーオスの皮
Greed Helm : Black Scarskin x4, Deviljho Scale x2, Deviljho Scalp x4, Elder Dragonbone x2 : 4 歴戦の漆黒皮, 2 恐暴竜の黒鱗, 4 恐暴竜の頭殻, 2 古龍骨
Greed Mail : Black Scarskin x5, Deviljho Claw x4, Deviljho Jaw x2, Elder Dragon Blood x1 : 5 歴戦の漆黒皮, 4 恐暴竜の鉤爪, 2 恐暴竜の大牙, 1 古龍の血
Greed Vambraces : Black Blood x4, Deviljho Scale x6, Deviljho Gem x1, Elder Dragon Blood x2 : 4 ドス黒い血, 6 恐暴竜の黒鱗, 1 恐暴竜の宝玉, 2 古龍の血
Greed Faulds : Black Scarskin x4, Deviljho Jaw x2, Deviljho Tail x2, Elder Dragonbone x2 : 4 歴戦の漆黒皮, 2 恐暴竜の大牙, 2 恐暴竜の尻尾, 2 古龍骨
Greed Greaves : Black Scarskin x2, Deviljho Scale x6, Deviljho Claw x4, Elder Dragon Blood x1 : 2 歴戦の漆黒皮, 6 恐暴竜の黒鱗, 4 恐暴竜の鉤爪, 1 古龍の血
Greed Cap : Black Scarskin x4, Deviljho Scale x2, Deviljho Scalp x4, Elder Dragonbone x2 : 4 歴戦の漆黒皮, 2 恐暴竜の黒鱗, 4 恐暴竜の頭殻, 2 古龍骨
Greed Vest : Black Scarskin x5, Deviljho Claw x4, Deviljho Jaw x2, Elder Dragon Blood x1 : 5 歴戦の漆黒皮, 4 恐暴竜の鉤爪, 2 恐暴竜の大牙, 1 古龍の血
Greed Guards : Black Blood x4, Deviljho Scale x6, Deviljho Gem x1, Elder Dragon Blood x2 : 4 ドス黒い血, 6 恐暴竜の黒鱗, 1 恐暴竜の宝玉, 2 古龍の血
Greed Coat : Black Scarskin x4, Deviljho Jaw x2, Deviljho Tail x2, Elder Dragonbone x2 : 4 歴戦の漆黒皮, 2 恐暴竜の大牙, 2 恐暴竜の尻尾, 2 古龍骨
Greed Leggings : Black Scarskin x2, Deviljho Scale x6, Deviljho Claw x4, Elder Dragon Blood x1 : 2 歴戦の漆黒皮, 6 恐暴竜の黒鱗, 4 恐暴竜の鉤爪, 1 古龍の血
Guardian Helm : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guardian Suit : Dragonite Ore x2, Pinnacle Coin x3, Fanged Coin x5 : 2 ドラグライト鉱石, 3 闘技王のコイン, 5 牙獣のコイン
Guardian Vambraces : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guardian Coil : Dragonite Ore x2, Pinnacle Coin x3, Fanged Coin x5 : 2 ドラグライト鉱石, 3 闘技王のコイン, 5 牙獣のコイン
Guardian Boots : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guardian Mask : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guardian Vest : Dragonite Ore x2, Pinnacle Coin x3, Fanged Coin x5 : 2 ドラグライト鉱石, 3 闘技王のコイン, 5 牙獣のコイン
Guardian Guards : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guardian Coat : Dragonite Ore x2, Pinnacle Coin x3, Fanged Coin x5 : 2 ドラグライト鉱石, 3 闘技王のコイン, 5 牙獣のコイン
Guardian Feet : Dragonite Ore x2, Pinnacle Coin x3, Bird Coin x3 : 2 ドラグライト鉱石, 3 闘技王のコイン, 3 鳥竜のコイン
Guild Knight Feather : Proof of Hope x1, Kut-Ku Scale+ x4, Garuga Long Ear x2 : 1 希望の証, 4 怪鳥の上鱗, 2 黒狼鳥の地獄耳
Guild Knight Suit : Proof of Hope x1, Garuga Scale+ x4, BasariosTears x1 : 1 希望の証, 4 黒狼鳥の上鱗, 1 岩竜の涙
Guild Knight Gloves : Proof of Hope x1, Blue Kut-Ku Scale+ x4, Rejuvenated Beak x2 : 1 希望の証, 4 青怪鳥の上鱗, 2 イカしたクチバシ
Guild Knight Coil : Proof of Hope x1, Velociprey Claw+ x3, P.Basarios Wing x2 : 1 希望の証, 3 ランポスの尖爪, 2 桃岩竜の翼
Guild Knight Boots : Proof of Hope x1, Basarios Carapace x4, Kut-Ku Long Ear x2 : 1 希望の証, 4 岩竜の堅殻, 2 怪鳥の地獄耳
Guild Knight Mask : Proof of Hope x1, Kut-Ku Scale+ x4, Garuga Long Ear x2 : 1 希望の証, 4 怪鳥の上鱗, 2 黒狼鳥の地獄耳
Guild Knight Vest : Proof of Hope x1, Garuga Scale+ x4, BasariosTears x1 : 1 希望の証, 4 黒狼鳥の上鱗, 1 岩竜の涙
Guild Knight Cuffs : Proof of Hope x1, Blue Kut-Ku Scale+ x4, Rejuvenated Beak x2 : 1 希望の証, 4 青怪鳥の上鱗, 2 イカしたクチバシ
Guild Knight Skirt : Proof of Hope x1, Velociprey Claw+ x3, P.Basarios Wing x2 : 1 希望の証, 3 ランポスの尖爪, 2 桃岩竜の翼
Guild Knight Tights : Proof of Hope x1, Basarios Carapace x4, Kut-Ku Long Ear x2 : 1 希望の証, 4 岩竜の堅殻, 2 怪鳥の地獄耳
Guild Bard Lobos : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Guild Bard Suit : Levitalite Ore x1, Insect Coin x2, Fanged Coin x5, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 5 牙獣のコイン, 3 闘技王のコイン
Guild Bard Vambraces : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Guild Bard Coil : Levitalite Ore x1, Insect Coin x2, Fanged Coin x5, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 5 牙獣のコイン, 3 闘技王のコイン
Guild Bard Boots : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Guild Bard Hat : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Guild Bard Vest : Levitalite Ore x1, Insect Coin x2, Fanged Coin x5, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 5 牙獣のコイン, 3 闘技王のコイン
Guild Bard Cuffs : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Guild Bard Coat : Levitalite Ore x1, Insect Coin x2, Fanged Coin x5, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 5 牙獣のコイン, 3 闘技王のコイン
Guild Bard Feet : Levitalite Ore x1, Insect Coin x2, Bird Coin x3, Pinnacle Coin x3 : 1 レビテライト鉱石, 2 蟲のコイン, 3 鳥竜のコイン, 3 闘技王のコイン
Gypceros Helm U : P.Gypceros Hide x2, P.Gypceros Wing x2, Earth Crystal x4, Gypceros Head x1 : 2 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 1 毒怪鳥の頭
Gypceros Mail U : P.Gypceros Hide x4, Monster Broth x3, Earth Crystal x5, Hercudrome x2 : 4 ゴム質の紫皮, 3 モンスターの濃汁, 5 大地の結晶, 2 ドスヘラクレス
Gypceros Vambraces U : P.Gypceros Hide x3, P.Gypceros Wing x2, Earth Crystal x4, Genprey Scale+ x2 : 3 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 2 ゲネポスの上鱗
Gypceros Faulds U : P.Gypceros Hide x3, P.Gypceros Wing x2, Earth Crystal x4, Avian Finebone x2 : 3 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 2 上質な鳥竜骨
Gypceros Greaves U : P.Gypceros Hide x3, Monster Broth x2, Earth Crystal x5, Genprey Hide+ x5 : 3 ゴム質の紫皮, 2 モンスターの濃汁, 5 大地の結晶, 5 ゲネポスの上皮
Gypceros Helm S : Gypceros Hide+ x4, Gypceros Head x1, Earth Crystal x4, Gendrome Tail x2 : 4 ゴム質の上皮, 1 毒怪鳥の頭, 4 大地の結晶, 2 ドスゲネポスの尾
Gypceros Mail S : Gypceros Hide+ x5, Monster Broth x3, Earth Crystal x5, Gendrome Hide x3 : 5 ゴム質の上皮, 3 モンスターの濃汁, 5 大地の結晶, 3 ドスゲネポスの皮
Gypceros Vambraces S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x4, Genprey Scale+ x2 : 4 ゴム質の上皮, 2 モンスターの濃汁, 4 大地の結晶, 2 ゲネポスの上鱗
Gypceros Faulds S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x4, Carbalite Ore x2 : 4 ゴム質の上皮, 2 モンスターの濃汁, 4 大地の結晶, 2 カブレライト鉱石
Gypceros Greaves S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x5, Genprey Hide+ x5 : 4 ゴム質の上皮, 2 モンスターの濃汁, 5 大地の結晶, 5 ゲネポスの上皮
Gypceros Cap U : P.Gypceros Hide x2, P.Gypceros Wing x2, Earth Crystal x4, Gypceros Head x1 : 2 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 1 毒怪鳥の頭
Gypceros Vest U : P.Gypceros Hide x4, Monster Broth x3, Earth Crystal x5, Hercudrome x2 : 4 ゴム質の紫皮, 3 モンスターの濃汁, 5 大地の結晶, 2 ドスヘラクレス
Gypceros Guards U : P.Gypceros Hide x3, P.Gypceros Wing x2, Earth Crystal x4, Genprey Scale+ x2 : 3 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 2 ゲネポスの上鱗
Gypceros Coat U : P.Gypceros Hide x3, P.Gypceros Wing x2, Earth Crystal x4, Avian Finebone x2 : 3 ゴム質の紫皮, 2 毒怪鳥の紫翼, 4 大地の結晶, 2 上質な鳥竜骨
Gypceros Leggings U : P.Gypceros Hide x3, Monster Broth x2, Earth Crystal x5, Genprey Hide+ x5 : 3 ゴム質の紫皮, 2 モンスターの濃汁, 5 大地の結晶, 5 ゲネポスの上皮
Gypceros Cap S : Gypceros Hide+ x4, Gypceros Head x1, Earth Crystal x4, Gendrome Tail x2 : 4 ゴム質の上皮, 1 毒怪鳥の頭, 4 大地の結晶, 2 ドスゲネポスの尾
Gypceros Vest S : Gypceros Hide+ x5, Monster Broth x3, Earth Crystal x5, Gendrome Hide x3 : 5 ゴム質の上皮, 3 モンスターの濃汁, 5 大地の結晶, 3 ドスゲネポスの皮
Gypceros Guards S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x4, Genprey Scale+ x2 : 4 ゴム質の上皮, 2 モンスターの濃汁, 4 大地の結晶, 2 ゲネポスの上鱗
Gypceros Coat S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x4, Carbalite Ore x2 : 4 ゴム質の上皮, 2 モンスターの濃汁, 4 大地の結晶, 2 カブレライト鉱石
Gypceros Leggings S : Gypceros Hide+ x4, Monster Broth x2, Earth Crystal x5, Genprey Hide+ x5 : 4 ゴム質の上皮, 2 モンスターの濃汁, 5 大地の結晶, 5 ゲネポスの上皮
Gypceros Helm : Gypceros Hide x2, Earth Crystal x2, Genprey Hide x2, Iron Ore x5 : 2 ゴム質の皮, 2 大地の結晶, 2 ゲネポスの皮, 5 鉄鉱石
Gypceros Mail : Poison Sac x1, Earth Crystal x1, Gypceros Hide x2, Machalite Ore x2 : 1 毒袋, 1 大地の結晶, 2 ゴム質の皮, 2 マカライト鉱石
