Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Qurupeco U Coil : C.Peco Wing x3, C.Peco Scale+ x3, Monster Keenbone x1, Hercudrome x3 : 3 紅彩鳥の翼, 3 紅彩鳥の上鱗, 1 尖竜骨, 3 ドスヘラクレス
Qurupeco U Greaves : C.Peco Scale+ x3, C.Peco Wing x2, Wyvern Stone x1, Killer Beetle x5 : 3 紅彩鳥の上鱗, 2 紅彩鳥の翼, 1 竜玉, 5 キラビートル
Qurupeco U Cap : C.Peco Wing x1, Wonderful Beak x3, Monster Bone+ x2, King Scarab x2 : 1 紅彩鳥の翼, 3 ステキなクチバシ, 2 上竜骨, 2 王族カナブン
Qurupeco U Vest : C.Peco Scale+ x3, Vivid Feather x2, Monster Keenbone x1, King Scarab x2 : 3 紅彩鳥の上鱗, 2 極彩色の羽根, 1 尖竜骨, 2 王族カナブン
Qurupeco U Guards : Voltstone x3, C.Peco Scale+ x3, Vivid Feather x2, Hercudrome x3 : 3 電気石, 3 紅彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco U Coat : C.Peco Wing x3, C.Peco Scale+ x3, Monster Keenbone x1, Hercudrome x3 : 3 紅彩鳥の翼, 3 紅彩鳥の上鱗, 1 尖竜骨, 3 ドスヘラクレス
Qurupeco U Leggings : C.Peco Scale+ x3, C.Peco Wing x2, Wyvern Stone x1, Killer Beetle x5 : 3 紅彩鳥の上鱗, 2 紅彩鳥の翼, 1 竜玉, 5 キラビートル
Ludroth S Helm : R.Ludroth Crest+ x2, R.Ludroth Scale+ x3, R.Ludroth Tail x1, Torrent Sac x2 : 2 高級なトサカ, 3 水獣の上鱗, 1 水獣の尻尾, 2 大水袋
Ludroth S Mail : Spongy Hide+ x3, Hydro Hide+ x3, Hydro Hide x6, King Scarab x2 : 3 海綿質の上皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth S Vambraces : R.Ludroth Claw+ x3, R.Ludroth Scale+ x4, Spongy Hide+ x2, Hercudrome x5 : 3 水獣の鋭爪, 4 水獣の上鱗, 2 海綿質の上皮, 5 ドスヘラクレス
Ludroth S Faulds : Hydro Hide+ x4, Immature Sponge x6, Monster Keenbone x2, King Scarab x2 : 4 水生獣の上皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth S Greaves : R.Ludroth Claw+ x2, R.Ludroth Scale+ x3, Spongy Hide+ x3, Killer Beetle x5 : 2 水獣の鋭爪, 3 水獣の上鱗, 3 海綿質の上皮, 5 キラビートル
Ludroth S Cap : R.Ludroth Crest+ x2, R.Ludroth Scale+ x3, R.Ludroth Tail x1, Torrent Sac x2 : 2 高級なトサカ, 3 水獣の上鱗, 1 水獣の尻尾, 2 大水袋
Ludroth S Vest : Spongy Hide+ x3, Hydro Hide+ x3, Hydro Hide x6, King Scarab x2 : 3 海綿質の上皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth S Guards : R.Ludroth Claw+ x3, R.Ludroth Scale+ x4, Spongy Hide+ x2, Hercudrome x5 : 3 水獣の鋭爪, 4 水獣の上鱗, 2 海綿質の上皮, 5 ドスヘラクレス
Ludroth S Coat : Hydro Hide+ x4, Immature Sponge x6, Monster Keenbone x2, King Scarab x2 : 4 水生獣の上皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth S Leggings : R.Ludroth Claw+ x2, R.Ludroth Scale+ x3, Spongy Hide+ x3, Killer Beetle x5 : 2 水獣の鋭爪, 3 水獣の上鱗, 3 海綿質の上皮, 5 キラビートル
Ludroth U Helm : P.Ludroth Scale+ x3, R.Ludroth Crest+ x3, R.Ludroth Tail x1, Hercudrome x5 : 3 紫水獣の上鱗, 3 高級なトサカ, 1 水獣の尻尾, 5 ドスヘラクレス
Ludroth U Mail : Plum Spongy Hide x3, Hydro Hide+ x3, Hydro Hide x6, King Scarab x2 : 3 海綿質の紫皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth U Vambraces : P.Ludroth Claw+ x4, Plum Spongy Hide x2, P.Ludroth Scale+ x2, Torrent Sac x2 : 4 紫水獣の鋭爪, 2 海綿質の紫皮, 2 紫水獣の上鱗, 2 大水袋
Ludroth U Faulds : Plum Spongy Hide x3, Immature Sponge x6, Monster Keenbone x2, King Scarab x2 : 3 海綿質の紫皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth U Greaves : P.Ludroth Claw+ x3, P.Ludroth Scale+ x3, Hydro Hide+ x3, Killer Beetle x5 : 3 紫水獣の鋭爪, 3 紫水獣の上鱗, 3 水生獣の上皮, 5 キラビートル
Ludroth U Cap : P.Ludroth Scale+ x3, R.Ludroth Crest+ x3, R.Ludroth Tail x1, Hercudrome x5 : 3 紫水獣の上鱗, 3 高級なトサカ, 1 水獣の尻尾, 5 ドスヘラクレス
Ludroth U Vest : Plum Spongy Hide x3, Hydro Hide+ x3, Hydro Hide x6, King Scarab x2 : 3 海綿質の紫皮, 3 水生獣の上皮, 6 水生獣の皮, 2 王族カナブン
Ludroth U Guards : P.Ludroth Claw+ x4, Plum Spongy Hide x2, P.Ludroth Scale+ x2, Torrent Sac x2 : 4 紫水獣の鋭爪, 2 海綿質の紫皮, 2 紫水獣の上鱗, 2 大水袋
Ludroth U Coat : Plum Spongy Hide x3, Immature Sponge x6, Monster Keenbone x2, King Scarab x2 : 3 海綿質の紫皮, 6 未熟な海綿質, 2 尖竜骨, 2 王族カナブン
Ludroth U Leggings : P.Ludroth Claw+ x3, P.Ludroth Scale+ x3, Hydro Hide+ x3, Killer Beetle x5 : 3 紫水獣の鋭爪, 3 紫水獣の上鱗, 3 水生獣の上皮, 5 キラビートル
Volvidon S Helm : Volvidon Claw+ x3, Volvi Carapace x3, Monster Broth x3, Firestone x2 : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 3 モンスターの濃汁, 2 紅蓮石
Volvidon S Mail : Volvi Carapace x3, Volvi Rickrack x4, Stoutbone x2, Carbalite Ore x3 : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 2 堅牢な骨, 3 カブレライト鉱石
Volvidon S Vambraces : Volvidon Claw+ x3, Omniplegia Sac x6, Stoutbone x3, Dragonite Ore x5 : 3 赤甲獣の尖爪, 6 強力麻痺袋, 3 堅牢な骨, 5 ドラグライト鉱石
Volvidon S Faulds : Volvi Carapace x3, Volvi Rickrack x4, Monster Broth x3, Firestone x2 : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 3 モンスターの濃汁, 2 紅蓮石
Volvidon S Greaves : Volvidon Claw+ x3, Volvi Carapace x3, Volvi Rickrack x1, Fucium Ore x2 : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 1 赤甲獣の蛇腹甲, 2 ユニオン鉱石
Volvidon S Cap : Volvidon Claw+ x3, Volvi Carapace x3, Monster Broth x3, Firestone x2 : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 3 モンスターの濃汁, 2 紅蓮石
Volvidon S Vest : Volvi Carapace x3, Volvi Rickrack x4, Stoutbone x2, Carbalite Ore x3 : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 2 堅牢な骨, 3 カブレライト鉱石
Volvidon S Guards : Volvidon Claw+ x3, Omniplegia Sac x6, Stoutbone x3, Dragonite Ore x5 : 3 赤甲獣の尖爪, 6 強力麻痺袋, 3 堅牢な骨, 5 ドラグライト鉱石
Volvidon S Coat : Volvi Carapace x3, Volvi Rickrack x4, Monster Broth x3, Firestone x2 : 3 赤甲獣の堅殻, 4 赤甲獣の蛇腹甲, 3 モンスターの濃汁, 2 紅蓮石
Volvidon S Leggings : Volvidon Claw+ x3, Volvi Carapace x3, Volvi Rickrack x1, Fucium Ore x2 : 3 赤甲獣の尖爪, 3 赤甲獣の堅殻, 1 赤甲獣の蛇腹甲, 2 ユニオン鉱石
Aelucanth Vertex/Rhopessa Vertex : Rare Scarab x3, Butterfly Beetle x1, Fulgurbug x3, Godbug x10 : 3 マレコガネ, 1 オオクワアゲハ, 3 超電雷光虫, 10 不死虫
Aelucanth Thorax/Rhopessa Thorax : Rare Scarab x2, Butterfly Beetle x2, Blossom Cricket x2, Carpenterbug x10 : 2 マレコガネ, 2 オオクワアゲハ, 2 ハナスズムシ, 10 セッチャクロアリ
Aelucanth Brachia/Rhopessa Brachia : Rare Scarab x3, Butterfly Beetle x1, Pale Extract x5, Bitterbug x10 : 3 マレコガネ, 1 オオクワアゲハ, 5 アルビノエキス, 10 にが虫
Aelucanth Elytra/Rhopessa Elytra : Rare Scarab x2, Butterfly Beetle x2, Flashbug x10, Stinkhopper x10 : 2 マレコガネ, 2 オオクワアゲハ, 10 光蟲, 10 ボンバッタ
Aelucanth Crura/Rhopessa Crura : Rare Scarab x3, Butterfly Beetle x1, Monster Broth x3, Snakebee Larva x10 : 3 マレコガネ, 1 オオクワアゲハ, 3 モンスターの濃汁, 10 ツチハチノコ
Aelucanth Clypeus/Rhopessa Clypeus : Rare Scarab x3, Butterfly Beetle x1, Fulgurbug x3, Godbug x10 : 3 マレコガネ, 1 オオクワアゲハ, 3 超電雷光虫, 10 不死虫
Aelucanth Pleuron/Rhopessa Pleuron : Rare Scarab x2, Butterfly Beetle x2, Blossom Cricket x2, Carpenterbug x10 : 2 マレコガネ, 2 オオクワアゲハ, 2 ハナスズムシ, 10 セッチャクロアリ
Aelucanth Manus/Rhopessa Manus : Rare Scarab x3, Butterfly Beetle x1, Pale Extract x5, Bitterbug x10 : 3 マレコガネ, 1 オオクワアゲハ, 5 アルビノエキス, 10 にが虫
Aelucanth Alae/Rhopessa Alae : Rare Scarab x2, Butterfly Beetle x2, Flashbug x10, Stinkhopper x10 : 2 マレコガネ, 2 オオクワアゲハ, 10 光蟲, 10 ボンバッタ
Aelucanth Tarsi/Rhopessa Tarsi : Rare Scarab x3, Butterfly Beetle x1, Monster Broth x3, Snakebee Larva x10 : 3 マレコガネ, 1 オオクワアゲハ, 3 モンスターの濃汁, 10 ツチハチノコ
Barroth S Helm : Barroth Ridge+ x4, Barroth Carapace x2, Fertile Mud x5, Jaggi Scale x4 : 4 土砂竜の堅甲, 2 土砂竜の堅殻, 5 肥沃なドロ, 4 ジャギィの鱗
Barroth S Mail : Barroth Ridge+ x4, Barroth Scalp x3, Fertile Mud x5, Rheno Carapace x3 : 4 土砂竜の堅甲, 3 土砂竜の頭殻, 5 肥沃なドロ, 3 草食竜の堅殻
Barroth S Vambraces : Barroth Claw+ x4, Barroth Carapace x2, Monster Bone+ x2, Jaggi Scale x4 : 4 土砂竜の鋭爪, 2 土砂竜の堅殻, 2 上竜骨, 4 ジャギィの鱗
Barroth S Faulds : Barroth Carapace x2, Barroth Ridge+ x3, Monster Bone+ x2, Rheno Carapace x5 : 2 土砂竜の堅殻, 3 土砂竜の堅甲, 2 上竜骨, 5 草食竜の堅殻
Barroth S Greaves : Barroth Carapace x3, Barroth Tail x1, Monster Keenbone x3, Jaggi Scale+ x4 : 3 土砂竜の堅殻, 1 土砂竜の尻尾, 3 尖竜骨, 4 ジャギィの上鱗
Barroth S Cap : Barroth Ridge+ x4, Barroth Carapace x2, Fertile Mud x5, Jaggi Scale x4 : 4 土砂竜の堅甲, 2 土砂竜の堅殻, 5 肥沃なドロ, 4 ジャギィの鱗
Barroth S Vest : Barroth Ridge+ x4, Barroth Scalp x3, Fertile Mud x5, Rheno Carapace x3 : 4 土砂竜の堅甲, 3 土砂竜の頭殻, 5 肥沃なドロ, 3 草食竜の堅殻
Barroth S Guards : Barroth Claw+ x4, Barroth Carapace x2, Monster Bone+ x2, Jaggi Scale x4 : 4 土砂竜の鋭爪, 2 土砂竜の堅殻, 2 上竜骨, 4 ジャギィの鱗
Barroth S Coat : Barroth Carapace x2, Barroth Ridge+ x3, Monster Bone+ x2, Rheno Carapace x5 : 2 土砂竜の堅殻, 3 土砂竜の堅甲, 2 上竜骨, 5 草食竜の堅殻
Barroth S Leggings : Barroth Carapace x3, Barroth Tail x1, Monster Keenbone x3, Jaggi Scale+ x4 : 3 土砂竜の堅殻, 1 土砂竜の尻尾, 3 尖竜骨, 4 ジャギィの上鱗
Barroth U Helm : J.Barroth Ridge+ x5, J.Barr Carapace x3, Frozen Glob x5, Lagombi Pelt x5 : 5 氷砕竜の堅甲, 3 氷砕竜の堅殻, 5 凍った粘液塊, 5 白兎獣の毛
Barroth U Mail : J.Barroth Scalp x3, J.Barroth Ridge+ x4, Frozen Glob x5, Lagom Plastron x4 : 3 氷砕竜の頭殻, 4 氷砕竜の堅甲, 5 凍った粘液塊, 4 白兎獣の腹甲
Barroth U Vambraces : J.Barroth Claw+ x4, J.Barr Carapace x2, Monster Bone+ x3, G.Baggi Hide+ x3 : 4 氷砕竜の鋭爪, 2 氷砕竜の堅殻, 2 上竜骨, 3 眠狗竜の上皮
Barroth U Faulds : J.Barr Carapace x3, J.Barroth Ridge+ x4, Monster Keenbone x2, Lagombi Pelt+ x4 : 3 氷砕竜の堅殻, 4 氷砕竜の堅甲, 2 尖竜骨, 4 白兎獣の剛毛
Barroth U Greaves : J.Barr Carapace x3, J.Barroth Tail x1, J.Barroth Claw+ x3, Lagom Plastron+ x3 : 3 氷砕竜の堅殻, 1 氷砕竜の尻尾, 3 氷砕竜の鋭爪, 3 白兎獣の堅腹甲
Barroth U Cap : J.Barroth Ridge+ x5, J.Barr Carapace x3, Frozen Glob x5, Lagombi Pelt x5 : 5 氷砕竜の堅甲, 3 氷砕竜の堅殻, 5 凍った粘液塊, 5 白兎獣の毛
Barroth U Vest : J.Barroth Scalp x3, J.Barroth Ridge+ x4, Frozen Glob x5, Lagom Plastron x4 : 3 氷砕竜の頭殻, 4 氷砕竜の堅甲, 5 凍った粘液塊, 4 白兎獣の腹甲
Barroth U Guards : J.Barroth Claw+ x4, J.Barr Carapace x2, Monster Bone+ x3, G.Baggi Hide+ x3 : 4 氷砕竜の鋭爪, 2 氷砕竜の堅殻, 2 上竜骨, 3 眠狗竜の上皮
Barroth U Coat : J.Barr Carapace x3, J.Barroth Ridge+ x4, Monster Keenbone x2, Lagombi Pelt+ x4 : 3 氷砕竜の堅殻, 4 氷砕竜の堅甲, 2 尖竜骨, 4 白兎獣の剛毛
Barroth U Leggings : J.Barr Carapace x3, J.Barroth Tail x1, J.Barroth Claw+ x3, Lagom Plastron+ x3 : 3 氷砕竜の堅殻, 1 氷砕竜の尻尾, 3 氷砕竜の鋭爪, 3 白兎獣の堅腹甲
Gobul S Helm : Gobul Spike+ x2, Gobul Hide+ x4, Gobul Whisker x2, Monster Bone+ x3 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜のヒゲ, 3 上竜骨
Gobul S Mail : Gobul Fin+ x2, Gobul Spike+ x2, Gobul Hide x3, Bird Wyvern Gem x3 : 2 灯魚竜の上ヒレ, 2 灯魚竜の上棘, 3 灯魚竜の皮, 3 鳥竜玉
Gobul S Vambraces : Gobul Hide+ x4, Gobul Spike+ x2, Gobul Spike x3, Monster Bone M x5 : 4 灯魚竜の上皮, 2 灯魚竜の上棘, 3 灯魚竜の棘, 5 竜骨【中】
Gobul S Faulds : Gobul Hide+ x4, Gobul Fin+ x2, Gobul Fin x2, Paralysis Sac x5 : 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 2 灯魚竜のヒレ, 5 麻痺袋
Gobul S Greaves : Gobul Spike+ x2, Gobul Hide+ x4, Gobul Fin+ x2, Gobul Lantern+ x1 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 1 高級提灯球
Gobul S Cap : Gobul Spike+ x2, Gobul Hide+ x4, Gobul Whisker x2, Monster Bone+ x3 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜のヒゲ, 3 上竜骨
Gobul S Vest : Gobul Fin+ x2, Gobul Spike+ x2, Gobul Hide x3, Bird Wyvern Gem x3 : 2 灯魚竜の上ヒレ, 2 灯魚竜の上棘, 3 灯魚竜の皮, 3 鳥竜玉
Gobul S Guards : Gobul Hide+ x4, Gobul Spike+ x2, Gobul Spike x3, Monster Bone M x5 : 4 灯魚竜の上皮, 2 灯魚竜の上棘, 3 灯魚竜の棘, 5 竜骨【中】
Gobul S Coat : Gobul Hide+ x4, Gobul Fin+ x2, Gobul Fin x2, Paralysis Sac x5 : 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 2 灯魚竜のヒレ, 5 麻痺袋
Gobul S Leggings : Gobul Spike+ x2, Gobul Hide+ x4, Gobul Fin+ x2, Gobul Lantern+ x1 : 2 灯魚竜の上棘, 4 灯魚竜の上皮, 2 灯魚竜の上ヒレ, 1 高級提灯球
Mosgharl Vizor : King Scarab x3, Bumblepumpkin x4, Ancient Potion x1, Felvine x15 : 3 王族カナブン, 4 ペピポパンプキン, 1 いにしえの秘薬, 15 マタタビ
Mosgharl Ribplate : King Scarab x3, Bumblepumpkin x4, Max Potion x2, Cactus Flower x15 : 3 王族カナブン, 4 ペピポパンプキン, 2 秘薬, 15 サボテンの花
Mosgharl Creeper : King Scarab x4, Bumblepumpkin x5, Monster Broth x3, Hot Pepper x15 : 4 王族カナブン, 5 ペピポパンプキン, 3 モンスターの濃汁, 15 トウガラシ
Mosgharl Folia : King Scarab x4, Bumblepumpkin x5, Bnaha Carapace x4, Fire Herb x15 : 4 王族カナブン, 5 ペピポパンプキン, 4 飛甲虫の堅殻, 15 火薬草
Mosgharl Roots : King Scarab x4, Bumblepumpkin x4, Quality Sac x3, Sleep Herb x15 : 4 王族カナブン, 4 ペピポパンプキン, 3 上質な腹袋, 15 ネムリ草
Mosgharl Brim : King Scarab x3, Bumblepumpkin x4, Ancient Potion x1, Felvine x15 : 3 王族カナブン, 4 ペピポパンプキン, 1 いにしえの秘薬, 15 マタタビ
Mosgharl Ribguard : King Scarab x3, Bumblepumpkin x4, Max Potion x2, Cactus Flower x15 : 3 王族カナブン, 4 ペピポパンプキン, 2 秘薬, 15 サボテンの花
Mosgharl Tendril : King Scarab x4, Bumblepumpkin x5, Monster Broth x3, Hot Pepper x15 : 4 王族カナブン, 5 ペピポパンプキン, 3 モンスターの濃汁, 15 トウガラシ
Mosgharl Fronds : King Scarab x4, Bumblepumpkin x5, Bnaha Carapace x4, Fire Herb x15 : 4 王族カナブン, 5 ペピポパンプキン, 4 飛甲虫の堅殻, 15 火薬草
Mosgharl Radicles : King Scarab x4, Bumblepumpkin x4, Quality Sac x3, Sleep Herb x15 : 4 王族カナブン, 4 ペピポパンプキン, 3 上質な腹袋, 15 ネムリ草
Guild Bard S Lobos/Scholar's S Beret : Pinnacle Coin x2, Piscine Coin x3, Flying Coin x3, Commendation x2 : 2 闘技王のコイン, 3 水竜のコイン, 3 飛竜のコイン, 2 勇気の証
Guild Bard S Bolero/Scholar's S Blouse : Pinnacle Coin x2, Piscine Coin x3, Leviathan Coin x3, Commendation x2 : 2 闘技王のコイン, 3 水竜のコイン, 3 海竜のコイン, 2 勇気の証
Guild Bard S Braces/Scholar's S Gloves : Pinnacle Coin x2, Beast Coin x3, Leviathan Coin x2, Commendation x2 : 2 闘技王のコイン, 3 牙獣のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Coil/Scholar's S Skirt : Pinnacle Coin x2, Beast Coin x3, Flying Coin x2, Commendation x2 : 2 闘技王のコイン, 3 牙獣のコイン, 2 飛竜のコイン, 2 勇気の証
Guild Bard S Boots/Scholar's S Socks : Pinnacle Coin x2, Flying Coin x3, Leviathan Coin x2, Commendation x2 : 2 闘技王のコイン, 3 飛竜のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Hat/Scholar's S Cap : Pinnacle Coin x2, Piscine Coin x3, Flying Coin x3, Commendation x2 : 2 闘技王のコイン, 3 水竜のコイン, 3 飛竜のコイン, 2 勇気の証
Guild Bard S Vest/Scholar's S Vest : Pinnacle Coin x2, Piscine Coin x3, Leviathan Coin x3, Commendation x2 : 2 闘技王のコイン, 3 水竜のコイン, 3 海竜のコイン, 2 勇気の証
Guild Bard S Sleeves/Scholar's S Sleeves : Pinnacle Coin x2, Beast Coin x3, Leviathan Coin x2, Commendation x2 : 2 闘技王のコイン, 3 牙獣のコイン, 2 海竜のコイン, 2 勇気の証
Guild Bard S Coat/Scholar's S Mini : Pinnacle Coin x2, Beast Coin x3, Flying Coin x2, Commendation x2 : 2 闘技王のコイン, 3 牙獣のコイン, 2 飛竜のコイン, 2 勇気の証
Guild Bard S Gaiters/Scholar's S Sandals : Pinnacle Coin x2, Flying Coin x3, Leviathan Coin x2, Commendation x2 : 2 闘技王のコイン, 3 飛竜のコイン, 2 海竜のコイン, 2 勇気の証
Ingot S Helm : Fucium Ore x2, Gracium x3, Bathycite Ore x2, Carbalite Ore x5 : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Mail : Fucium Ore x3, Firecell Stone x2, Bathycite Ore x2, Carbalite Ore x5 : 3 ユニオン鉱石, 2 極炎石, 2 デプスライト鉱石, 5 カブレライト鉱石
Ingot S Vambraces : Fucium Ore x2, Gracium x3, Bathycite Ore x2, Lava Nugget x2 : 2 ユニオン鉱石, 3 グラシスメタル, 2 デプスライト鉱石, 2 溶岩塊
